Hotel_Name	City_Name	Features
Tanner's	atlanta	100 253 250 178 174 063 059 036 008 074 204 052 163
Frijoleros	atlanta	250 062 132 174 063 197 071 142 234 243 075 204 052 162
Indian Delights	atlanta	253 250 150 174 083 059 036 117 243 076 205 051 162
Great Wall	atlanta	253 191 192 174 036 039 075 204 052 163
The Brickery	atlanta	100 253 086 231 250 191 192 059 036 215 005 008 075 205 052 163
Lawrence's Cafe	atlanta	250 191 192 174 063 197 071 057 036 140 143 075 204 052 163
Harold's Barbecue	atlanta	253 174 010 221 036 017 076 205 051 162
Zab-E-Lee	atlanta	011 174 235 076 208 051 164
The Dessert Place	atlanta	100 086 150 174 036 042 061 076 204 053 162
Cafe Diem	atlanta	250 196 174 063 197 005 042 061 068 074 204 053 162
El Charro	atlanta	100 253 250 191 192 174 001 142 234 075 204 051 162
Kurt's at River Manor	atlanta	253 231 191 192 174 063 248 036 098 076 205 054 165
Peggy Sue's Diner	atlanta	100 253 086 250 191 192 174 063 036 042 061 074 204 053 163
Pars	atlanta	253 250 174 071 059 057 036 143 075 205 053 164
Le Rendez-Vous	atlanta	253 231 250 200 191 192 174 059 036 091 076 205 053 164
Rockbridge Diner	atlanta	253 231 136 191 192 059 045 076 206 053 164
Chefs' Grill	atlanta	100 080 253 231 102 191 192 174 083 036 024 025 005 076 206 053 165
Jonathan Lee's	atlanta	253 231 245 191 192 174 059 036 039 235 075 205 052 163
The Country Place	atlanta	253 099 231 250 062 132 191 192 174 071 083 024 215 005 076 206 054 165
Hama's	atlanta	253 250 245 174 128 075 205 052 164
Raja Indian Restaurant	atlanta	250 191 192 174 197 036 117 075 205 051 164
PRICCI	atlanta	080 253 250 245 189 102 174 114 024 215 121 076 206 054 166
Pittypat's Porch	atlanta	100 253 099 250 191 192 174 071 221 083 024 220 217 074 204 052 165
Houston's	atlanta	026 253 086 250 174 063 215 005 008 107 076 206 053 164
Azio	atlanta	253 086 231 250 102 063 114 248 215 121 182 075 205 053 164
Banks	atlanta	136 005 045 076 206 054 166
ABRUZZI RISTORANTE	atlanta	253 099 200 245 196 189 191 192 174 146 097 036 024 123 076 206 053 167
Rio Bravo Cantina	atlanta	100 253 086 250 191 192 174 063 215 138 142 234 075 205 053 163
Savannah Fish Company	atlanta	250 191 192 174 040 025 212 075 205 053 165
Lombardi's	atlanta	253 231 250 174 024 121 075 205 053 164
Johnny Rockets	atlanta	026 100 086 250 174 063 008 107 075 205 053 162
Opus	atlanta	099 150 200 196 191 192 174 063 040 071 024 025 005 243 076 206 054 167
La Paz	atlanta	100 253 250 191 192 174 063 197 083 036 215 025 142 234 222 076 205 053 163
Tortilla's	atlanta	253 250 174 063 197 142 234 076 204 052 162
Acacia	atlanta	099 245 191 192 174 040 111 097 083 024 005 075 205 054 166
Snack 'n Shop	atlanta	100 253 231 198 174 058 075 205 052 162
Touch of India	atlanta	253 250 191 192 174 117 075 205 052 163
The Hawthorne Cottage Tea Room	atlanta	253 113 231 150 198 191 192 174 063 221 059 036 068 075 205 053 162
Old Vinings Inn	atlanta	200 196 191 192 174 063 083 045 075 205 054 164
Janousek's	atlanta	100 253 231 136 191 192 174 036 045 076 206 053 165
Cafe Intermezzo	atlanta	253 113 231 250 200 196 062 132 191 192 174 063 083 042 061 075 205 054 163
Sukhothai	atlanta	253 191 192 174 036 235 076 205 053 164
Suntory	atlanta	026 253 099 231 250 191 192 174 059 024 128 076 205 054 166
Cha Gio	atlanta	253 250 191 192 036 246 075 205 052 162
Fellini's Pizza	atlanta	100 253 086 250 102 174 063 197 004 132 182 075 204 052 162
SURIN OF THAILAND	atlanta	253 102 174 083 235 076 205 053 164
China Royal	atlanta	100 253 086 191 192 174 059 036 001 039 074 205 052 163
Nakato	atlanta	100 253 250 245 191 192 174 146 036 128 076 205 054 165
Thelma's Kitchen	atlanta	253 231 221 029 220 217 076 204 051 162
Silver Grill	atlanta	253 174 221 001 042 061 220 217 075 205 052 162
Cafe de la Place	atlanta	253 250 196 191 192 174 059 036 045 091 094 075 205 053 165
